_id,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
19,GO-2018344655,2018,2018-02-23,1610,2018,2018-02-23,1617,D51,Streets/Roadways/Highway,NO,NO,None,Chinese,None,None,None,None,NO,Assault,073,Moss Park (73),073,Moss Park (73),YES
20,GO-2018349271,2018,2018-02-24,1045,2018,2018-02-24,1047,D32,Other Commercial / Corporate Places ,NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,105,Lawrence Park North (105),105,Lawrence Park North (105),NO
21,GO-2018368358,2018,2018-02-27,943,2018,2018-02-27,951,D52,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,None,None,None,None,None,NO,Assault,NSA,NSA,NSA,NSA,YES
22,GO-2018384695,2018,2018-03-01,1545,2018,2018-03-01,1559,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,Iranian,None,None,None,None,NO,Criminal Harassment,027,York University Heights (27),027,York University Heights (27),NO
23,GO-2018408769,2018,2018-03-05,1100,2018,2018-03-05,1239,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Interfere With Property,027,York University Heights (27),027,York University Heights (27),NO
24,GO-2018416387,2018,2018-03-06,700,2018,2018-03-06,1531,D53,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,"Chinese, Arab",None,Jewish,None,None,YES,Uttering Threats - Bodily Harm,173,North Toronto (173),104,Mount Pleasant West (104),NO
25,GO-2018417283,2018,2018-03-06,1430,2018,2018-03-06,1811,D32,Religious Place of Worship/Cultural Centre,NO,NO,None,None,None,Jewish,None,None,NO,Uttering Threats - Bodily Harm,035,Westminster-Branson (35),035,Westminster-Branson (35),NO
26,GO-2018441841,2018,2018-03-09,1900,2018,2018-03-10,905,D11,Streets/Roadways/Highway,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,085,South Parkdale (85),085,South Parkdale (85),NO
27,GO-2018486339,2018,2018-03-16,1800,2018,2018-03-17,1336,D52,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),NO
28,GO-2018520971,2018,2018-03-22,620,2018,2018-03-22,1616,D31,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),NO
29,GO-2018571693,2018,2018-03-27,2130,2018,2018-03-30,1130,D13,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Interfere With Property,094,Wychwood (94),094,Wychwood (94),NO
30,GO-2018827640,2018,2018-03-28,1345,2018,2018-05-08,838,D12,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),NO
31,GO-2018596065,2018,2018-03-28,1357,2018,2018-04-03,1349,D31,Other Commercial / Corporate Places ,NO,NO,None,None,None,Jewish,None,None,NO,Uttering Threats - Bodily Harm,021,Humber Summit (21),021,Humber Summit (21),YES
32,GO-2018635192,2018,2018-04-08,1600,2018,2018-04-09,1348,D22,Religious Place of Worship/Cultural Centre,NO,NO,None,Korean,None,None,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",009,Edenbridge-Humber Valley (9),009,Edenbridge-Humber Valley (9),NO
33,GO-2018653264,2018,2018-04-12,812,2018,2018-04-12,812,D51,Streets/Roadways/Highway,NO,NO,None,None,None,None,None,Woman,NO,Assault With a Weapon,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),YES
34,GO-2018660834,2018,2018-04-13,1045,2018,2018-04-13,1045,D51,Non-Commercial/Non for Profit,NO,NO,Black,None,None,None,None,None,NO,Criminal Harassment,073,Moss Park (73),073,Moss Park (73),NO
35,GO-2018660266,2018,2018-04-13,900,2018,2018-04-13,1032,D52,Streets/Roadways/Highway,NO,NO,None,None,None,None,None,Woman,NO,Assault Causing Bodily Harm,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),YES
36,GO-2018680241,2018,2018-04-14,1709,2018,2018-04-16,1541,D52,"Medical Facility (Hospitals, Long-term Care, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Uttering Threats - Bodily Harm,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),NO
37,GO-2018672544,2018,2018-04-15,1049,2018,2018-04-15,1222,D51,Other Commercial / Corporate Places ,NO,NO,None,None,None,None,None,Woman,NO,Assault,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),YES
38,GO-2018697960,2018,2018-04-16,620,2018,2018-04-19,745,D52,Other Commercial / Corporate Places ,NO,NO,None,None,None,None,None,Woman,NO,Assault With a Weapon,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),YES
39,GO-2018696936,2018,2018-04-19,258,2018,2018-04-19,258,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),NO
40,GO-2018712781,2018,2018-04-20,2030,2018,2018-04-21,1211,D51,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Assault,073,Moss Park (73),073,Moss Park (73),NO
41,GO-2018732797,2018,2018-04-20,1600,2018,2018-04-24,1400,D41,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,"Jewish, Muslim",None,None,YES,Mischief Interfere With Property,122,Birchcliffe-Cliffside (122),122,Birchcliffe-Cliffside (122),NO
42,GO-2018930794,2018,2018-04-22,1926,2018,2018-05-23,2002,D22,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,None,None,None,Jewish,None,None,NO,Uttering Threats - Bodily Harm,009,Edenbridge-Humber Valley (9),009,Edenbridge-Humber Valley (9),NO
43,GO-2018745946,2018,2018-04-25,1900,2018,2018-04-26,1155,D53,Other Commercial / Corporate Places ,NO,NO,None,None,None,Muslim,None,None,NO,Mischief Under $5000,103,Lawrence Park South (103),103,Lawrence Park South (103),YES
44,GO-2018743233,2018,2018-04-26,1,2018,2018-04-26,19,D55,Streets/Roadways/Highway,NO,NO,None,None,None,Muslim,Lesbian,None,YES,Assault,070,South Riverdale (70),070,South Riverdale (70),NO
45,GO-2018767447,2018,2018-04-28,2100,2018,2018-04-29,1813,D13,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,None,Gay,None,NO,Mischief Under $5000,106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),NO
46,GO-2018806839,2018,2018-05-05,105,2018,2018-05-05,354,D43,Public Transportation,NO,NO,None,Chinese,None,None,None,None,NO,Assault,134,Highland Creek (134),134,Highland Creek (134),NO
47,GO-2018882139,2018,2018-05-14,615,2018,2018-05-16,1634,D53,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,173,North Toronto (173),104,Mount Pleasant West (104),NO
48,GO-20181152753,2018,2018-05-16,951,2018,2018-06-25,702,NSA,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,Chinese,None,None,None,None,NO,Uttering Threats - Bodily Harm,NSA,NSA,NSA,NSA,NO
49,GO-2018891688,2018,2018-05-17,1825,2018,2018-05-17,1833,D52,Streets/Roadways/Highway,NO,NO,None,None,None,Muslim,None,None,NO,Mischief Interfere With Property,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),NO
50,GO-2018903594,2018,2018-05-19,1450,2018,2018-05-19,1451,D33,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,None,None,None,None,None,NO,Assault With a Weapon,043,Victoria Village (43),043,Victoria Village (43),YES
51,GO-2018913953,2018,2018-05-21,948,2018,2018-05-21,948,D43,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Muslim,None,None,NO,Mischief Under $5000,138,Eglinton East (138),138,Eglinton East (138),NO
52,GO-20181364803,2018,2018-05-24,1,2018,2018-07-26,1554,D32,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),NO
53,GO-2018970888,2018,2018-05-29,1700,2018,2018-05-29,1810,D23,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,None,Gay,None,NO,Uttering Threats - Bodily Harm,001,West Humber-Clairville (1),001,West Humber-Clairville (1),NO
54,GO-2018975560,2018,2018-05-29,2030,2018,2018-05-30,1312,D13,Religious Place of Worship/Cultural Centre,NO,NO,None,None,None,Jewish,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",094,Wychwood (94),094,Wychwood (94),NO
55,GO-2018982987,2018,2018-05-31,1212,2018,2018-05-31,1212,D55,"Open Area, Park or Parking Lot",NO,NO,"Black, White",None,None,None,2SLGBTQ+,None,YES,Mischief Under $5000,054,O'Connor-Parkview (54),054,O'Connor-Parkview (54),NO
56,GO-2018989194,2018,2018-05-31,1900,2018,2018-06-01,853,D55,Streets/Roadways/Highway,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,065,Greenwood-Coxwell (65),065,Greenwood-Coxwell (65),NO
57,GO-2018990504,2018,2018-06-01,1225,2018,2018-06-01,1225,D53,Religious Place of Worship/Cultural Centre,NO,NO,None,None,None,Christian Orthodox,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",095,Annex (95),095,Annex (95),NO
58,GO-20181026326,2018,2018-06-06,1557,2018,2018-06-06,1803,D31,Public Transportation,NO,NO,None,None,None,Muslim,None,Woman,YES,Assault,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),YES
59,GO-20181025277,2018,2018-06-06,1500,2018,2018-06-06,1502,D31,Streets/Roadways/Highway,NO,NO,None,None,None,Muslim,None,Woman,YES,Assault,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),YES
60,GO-20181027737,2018,2018-06-06,2152,2018,2018-06-06,2152,D31,Streets/Roadways/Highway,NO,NO,None,None,None,Muslim,None,Woman,YES,Assault,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),YES
61,GO-20181034201,2018,2018-06-07,1952,2018,2018-06-07,2003,D31,Streets/Roadways/Highway,NO,NO,None,None,None,Muslim,None,Woman,YES,Assault,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),YES
62,GO-20181062250,2018,2018-06-12,550,2018,2018-06-12,615,D55,Public Transportation,NO,NO,None,None,None,Muslim,None,None,NO,Uttering Threats - Bodily Harm,044,Flemingdon Park (44),044,Flemingdon Park (44),YES
63,GO-20181263327,2018,2018-06-22,1418,2018,2018-07-11,1509,D32,Other Commercial / Corporate Places ,NO,NO,None,Iranian,None,None,None,None,NO,Uttering Threats - Property,050,Newtonbrook East (50),050,Newtonbrook East (50),YES
64,GO-20181141157,2018,2018-06-23,746,2018,2018-06-23,746,D52,Public Transportation,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),NO
65,GO-20181150834,2018,2018-06-24,553,2018,2018-06-24,2054,D52,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,None,Gay,None,NO,Uttering Threats - Bodily Harm,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO
66,GO-20181162920,2018,2018-06-26,700,2018,2018-06-26,1537,D51,Business/Retail,NO,NO,None,None,None,None,2SLGBTQ+,None,NO,Arson,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO
67,GO-20181162575,2018,2018-06-26,1452,2018,2018-06-26,1452,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,Indian,None,None,Gay,None,YES,Public Incitement of Hatred ,027,York University Heights (27),027,York University Heights (27),NO
68,GO-20181173411,2018,2018-06-27,1700,2018,2018-06-28,1008,D55,Public Transportation,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,062,East End-Danforth (62),062,East End-Danforth (62),NO
69,GO-20181268199,2018,2018-06-29,736,2018,2018-06-29,800,D52,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),NO
70,GO-20181218012,2018,2018-07-04,1600,2018,2018-07-23,1407,D51,Public Transportation,NO,NO,None,None,None,Muslim,None,None,NO,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO
71,GO-20181266584,2018,2018-07-10,0,2018,2018-07-11,2221,D52,Business/Retail,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),NO
72,GO-20181282134,2018,2018-07-14,445,2018,2018-07-14,452,D32,Streets/Roadways/Highway,NO,NO,None,Indian,None,None,None,None,NO,Assault,152,East Willowdale (152),051,Willowdale East (51),NO
73,GO-20181332309,2018,2018-07-21,1304,2018,2018-07-21,1304,D32,Religious Place of Worship/Cultural Centre,NO,NO,None,None,None,Jewish,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",034,Bathurst Manor (34),034,Bathurst Manor (34),NO
74,GO-20181346936,2018,2018-07-23,1823,2018,2018-07-23,1823,D52,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,None,None,None,Muslim,None,None,NO,Assault,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),YES
75,GO-20181494096,2018,2018-07-23,0,2018,2018-08-13,2305,D32,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Theft,039,Bedford Park-Nortown (39),039,Bedford Park-Nortown (39),NO
76,GO-20181358465,2018,2018-07-24,1900,2018,2018-07-25,1218,D55,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,043,Victoria Village (43),043,Victoria Village (43),NO
77,GO-20181371226,2018,2018-07-26,1700,2018,2018-07-27,816,D51,Other Commercial / Corporate Places ,NO,NO,None,Iranian,None,None,None,None,NO,Mischief Under $5000,073,Moss Park (73),073,Moss Park (73),NO
78,GO-20181387642,2018,2018-07-29,1842,2018,2018-07-29,2010,D11,"Open Area, Park or Parking Lot",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,087,High Park-Swansea (87),087,High Park-Swansea (87),NO
79,GO-20181406132,2018,2018-07-31,2000,2018,2018-08-01,1046,D14,Religious Place of Worship/Cultural Centre,NO,NO,None,None,None,"Christian Orthodox, Jewish",None,None,YES,"Mischief To Religious Property, Educational Institutions, Etc.",172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),NO
80,GO-20181423067,2018,2018-08-02,1200,2018,2018-08-03,1523,D51,Streets/Roadways/Highway,NO,NO,None,None,None,Jewish,2SLGBTQ+,None,YES,Mischief Under $5000,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),NO
81,GO-20181421823,2018,2018-08-03,1148,2018,2018-08-03,1148,D22,"Open Area, Park or Parking Lot",NO,NO,None,None,None,Muslim,None,None,NO,Mischief Under $5000,013,Etobicoke West Mall (13),013,Etobicoke West Mall (13),NO
82,GO-20181441618,2018,2018-08-03,1200,2018,2018-08-06,1426,D13,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,108,Briar Hill-Belgravia (108),108,Briar Hill-Belgravia (108),NO
83,GO-20181458534,2018,2018-08-08,1819,2018,2018-08-08,1819,D53,Streets/Roadways/Highway,NO,NO,None,None,None,None,2SLGBTQ+,None,NO,Assault With a Weapon,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),NO
84,GO-20181466167,2018,2018-08-09,1939,2018,2018-08-09,1939,D42,Business/Retail,NO,NO,None,None,None,Muslim,None,None,NO,Assault,128,Agincourt South-Malvern West (128),128,Agincourt South-Malvern West (128),YES
85,GO-20181476930,2018,2018-08-11,1130,2018,2018-08-11,1130,D52,Streets/Roadways/Highway,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO
86,GO-20181485317,2018,2018-08-12,1720,2018,2018-08-12,1732,D12,Streets/Roadways/Highway,NO,NO,None,None,None,None,None,Transgender Man (Identifies As Man),NO,Assault,090,Junction Area (90),090,Junction Area (90),NO
87,GO-20181496924,2018,2018-08-14,1000,2018,2018-08-14,1204,D22,"Open Area, Park or Parking Lot",NO,NO,None,None,None,Muslim,None,None,NO,Mischief Under $5000,013,Etobicoke West Mall (13),013,Etobicoke West Mall (13),NO
88,GO-20181504449,2018,2018-08-14,1,2018,2018-08-15,1332,D32,Religious Place of Worship/Cultural Centre,NO,NO,None,None,None,Jewish,None,None,NO,Indecent Communications,034,Bathurst Manor (34),034,Bathurst Manor (34),YES
89,GO-20181532003,2018,2018-08-19,1546,2018,2018-08-19,1546,D14,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,083,Dufferin Grove (83),083,Dufferin Grove (83),NO
90,GO-20181650394,2018,2018-08-20,1,2018,2018-09-06,1211,D22,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,Black,None,None,None,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",018,New Toronto (18),018,New Toronto (18),NO
91,GO-20181561304,2018,2018-08-21,2100,2018,2018-08-23,2240,D32,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,None,None,None,None,Gay,None,NO,Assault,036,Newtonbrook West (36),036,Newtonbrook West (36),NO
92,GO-20181553183,2018,2018-08-22,1645,2018,2018-08-22,1846,D51,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,None,None,None,2SLGBTQ+,None,YES,Mischief Under $5000,073,Moss Park (73),073,Moss Park (73),NO
93,GO-20181574827,2018,2018-08-25,2310,2018,2018-08-25,2311,D22,Streets/Roadways/Highway,NO,NO,None,Arab,None,None,None,None,NO,Assault With a Weapon,015,Kingsway South (15),015,Kingsway South (15),NO
94,GO-20181640330,2018,2018-08-27,1457,2018,2018-08-27,1553,D43,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,134,Highland Creek (134),134,Highland Creek (134),NO
95,GO-20181637015,2018,2018-08-30,0,2018,2018-09-04,1342,D32,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),NO
96,GO-20181612331,2018,2018-08-31,1315,2018,2018-08-31,1654,D53,Streets/Roadways/Highway,NO,NO,None,None,None,None,2SLGBTQ+,None,NO,Assault,095,Annex (95),095,Annex (95),NO
97,GO-20181639568,2018,2018-09-04,800,2018,2018-09-04,2017,D22,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),NO
98,GO-2019382475,2018,2018-09-04,900,2019,2019-03-01,1523,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,050,Newtonbrook East (50),050,Newtonbrook East (50),NO
99,GO-20181654468,2018,2018-09-05,1930,2018,2018-09-06,2255,D12,NA,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,115,Mount Dennis (115),115,Mount Dennis (115),NO
100,GO-20181714453,2018,2018-09-15,2357,2018,2018-09-16,0,D52,Streets/Roadways/Highway,NO,NO,None,None,None,Muslim,None,None,NO,Uttering Threats - Bodily Harm,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),YES
101,GO-20181737925,2018,2018-09-19,1300,2018,2018-09-19,1608,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Interfere With Property,027,York University Heights (27),027,York University Heights (27),NO
102,GO-20181749520,2018,2018-09-20,1600,2018,2018-09-21,1130,D14,Religious Place of Worship/Cultural Centre,NO,NO,None,None,None,None,2SLGBTQ+,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",084,Little Portugal (84),084,Little Portugal (84),NO
103,GO-20181754281,2018,2018-09-21,2233,2018,2018-09-21,2356,D31,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),NO
104,GO-20181832964,2018,2018-09-21,1,2018,2018-10-04,900,D22,Other Commercial / Corporate Places ,NO,NO,Black,None,None,Jewish,None,None,YES,Uttering Threats - Bodily Harm,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),NO
105,GO-20182028654,2018,2018-10-01,0,2018,2018-11-03,1243,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),NO
106,GO-20181820978,2018,2018-10-02,1200,2018,2018-10-02,1306,D42,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,None,Pakistani,None,None,None,None,NO,Indecent Communications,146,Malvern East (146),132,Malvern (132),NO
107,GO-20181878002,2018,2018-10-04,1,2018,2018-10-11,1035,D32,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Indecent Communications,034,Bathurst Manor (34),034,Bathurst Manor (34),NO
108,GO-20181864322,2018,2018-10-05,1600,2018,2018-10-09,1220,D13,Religious Place of Worship/Cultural Centre,NO,NO,None,Israeli,None,None,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",107,Oakwood Village (107),107,Oakwood Village (107),NO
109,GO-20181862954,2018,2018-10-07,2000,2018,2018-10-09,842,D13,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),NO
110,GO-20181889106,2018,2018-10-07,1230,2018,2018-10-12,2221,D22,Religious Place of Worship/Cultural Centre,NO,NO,Black,None,None,None,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",018,New Toronto (18),018,New Toronto (18),NO
